Season,Lg,Champion,MVP,ROY,PTS,TRB,AST,WS,mvp_player_id,roy_player_id,pts_player_id,trb_player_id,ast_player_id,ws_player_id,TeamID
1968,NBA,BOSTON CELTICS,W. Chamberlain,E. Monroe,D. Bing (2142),W. Chamberlain (1952),W. Chamberlain (702),W. Chamberlain (20.4),chambwi01,monroea01,bingda01,chambwi01,chambwi01,chambwi01,BOS
1967,NBA,PHILADELPHIA 76ERS,W. Chamberlain,D. Bing,R. Barry (2775),W. Chamberlain (1957),G. Rodgers (908),W. Chamberlain (21.9),chambwi01,bingda01,barryri01,chambwi01,rodgegu01,chambwi01,PHI
1966,NBA,BOSTON CELTICS,W. Chamberlain,R. Barry,W. Chamberlain (2649),W. Chamberlain (1943),O. Robertson (847),W. Chamberlain (21.4),chambwi01,barryri01,chambwi01,chambwi01,roberos01,chambwi01,BOS
1965,NBA,BOSTON CELTICS,B. Russell,W. Reed,W. Chamberlain (2534),B. Russell (1878),O. Robertson (861),O. Robertson (17.0),russebi01,reedwi01,chambwi01,russebi01,roberos01,roberos01,BOS
1964,NBA,BOSTON CELTICS,O. Robertson,J. Lucas,W. Chamberlain (2948),B. Russell (1930),O. Robertson (868),W. Chamberlain (25.0),roberos01,lucasje01,chambwi01,russebi01,roberos01,chambwi01,BOS
1963,NBA,BOSTON CELTICS,B. Russell,T. Dischinger,W. Chamberlain (3586),W. Chamberlain (1946),G. Rodgers (825),W. Chamberlain (20.9),russebi01,dischte01,chambwi01,chambwi01,rodgegu01,chambwi01,BOS
1962,NBA,BOSTON CELTICS,B. Russell,W. Bellamy,W. Chamberlain (4029),W. Chamberlain (2052),O. Robertson (899),W. Chamberlain (23.1),russebi01,bellawa01,chambwi01,chambwi01,roberos01,chambwi01,BOS
1961,NBA,BOSTON CELTICS,B. Russell,O. Robertson,W. Chamberlain (3033),W. Chamberlain (2149),O. Robertson (690),W. Chamberlain (18.8),russebi01,roberos01,chambwi01,chambwi01,roberos01,chambwi01,BOS
1960,NBA,BOSTON CELTICS,W. Chamberlain,W. Chamberlain,W. Chamberlain (2707),W. Chamberlain (1941),B. Cousy (715),W. Chamberlain (17.0),chambwi01,chambwi01,chambwi01,chambwi01,cousybo01,chambwi01,BOS
1959,NBA,BOSTON CELTICS,B. Pettit,E. Baylor,B. Pettit (2105),B. Russell (1612),B. Cousy (557),B. Pettit (14.8),pettibo01,bayloel01,pettibo01,russebi01,cousybo01,pettibo01,BOS
1958,NBA,ST. LOUIS HAWKS,B. Russell,W. Sauldsberry,G. Yardley (2001),B. Russell (1564),B. Cousy (463),D. Schayes (13.7),russebi01,sauldwo01,yardlge01,russebi01,cousybo01,schaydo01,SLH
1957,NBA,BOSTON CELTICS,B. Cousy,T. Heinsohn,P. Arizin (1817),M. Stokes (1256),B. Cousy (478),N. Johnston (13.7),cousybo01,heinsto01,arizipa01,stokema01,cousybo01,johnsne01,BOS
1956,NBA,PHILADELPHIA WARRIORS,B. Pettit,M. Stokes,B. Pettit (1849),B. Pettit (1164),B. Cousy (642),N. Johnston (13.9),pettibo01,stokema01,pettibo01,pettibo01,cousybo01,johnsne01,PHW
1955,NBA,SYRACUSE NATIONALS,AWARD NOT ISSUED,B. Pettit,N. Johnston (1631),N. Johnston (1085),B. Cousy (557),N. Johnston (15.4),AWARD NOT ISSUED,pettibo01,johnsne01,johnsne01,cousybo01,johnsne01,SYR
1954,NBA,MINNEAPOLIS LAKERS,AWARD NOT ISSUED,R. Felix,N. Johnston (1759),H. Gallatin (1098),B. Cousy (518),N. Johnston (18.3),AWARD NOT ISSUED,felixra01,johnsne01,gallaha01,cousybo01,johnsne01,MNL
1953,NBA,MINNEAPOLIS LAKERS,AWARD NOT ISSUED,M. Meineke,N. Johnston (1564),G. Mikan (1007),B. Cousy (547),N. Johnston (15.3),AWARD NOT ISSUED,meinemo01,johnsne01,mikange01,cousybo01,johnsne01,MNL
1952,NBA,MINNEAPOLIS LAKERS,AWARD NOT ISSUED,"M. Hutchins, B. Tosheff",P. Arizin (1674),L. Foust (880),A. Phillip (539),P. Arizin (16.0),AWARD NOT ISSUED,hutchme01,arizipa01,foustla01,phillan01,arizipa01,MNL
1951,NBA,ROCHESTER ROYALS,AWARD NOT ISSUED,P. Arizin,G. Mikan (1932),D. Schayes (1080),A. Phillip (414),G. Mikan (23.4),AWARD NOT ISSUED,arizipa01,mikange01,schaydo01,phillan01,mikange01,ROR
1950,NBA,MINNEAPOLIS LAKERS,AWARD NOT ISSUED,A. Groza,G. Mikan (1865),AWARD NOT ISSUED,D. McGuire (386),G. Mikan (21.1),AWARD NOT ISSUED,grozaal01,mikange01,AWARD NOT ISSUED,mcguidi01,mikange01,MNL
