Season,Lg,Champion,MVP,ROY,PTS,TRB,AST,WS,mvp_player_id,roy_player_id,pts_player_id,trb_player_id,ast_player_id,ws_player_id
1974-75,NBA,Golden State Warriors,B. McAdoo,J. Wilkes,B. McAdoo (2831),B. McAdoo (1155),K. Porter (650),B. McAdoo (17.8),mcadobo01,wilkeja01,mcadobo01,mcadobo01,porteke01,mcadobo01
1973-74,NBA,Boston Celtics,K. Abdul-Jabbar,E. DiGregorio,B. McAdoo (2261),E. Hayes (1463),E. DiGregorio (663),K. Abdul-Jabbar (18.4),abdulka01,digreer01,mcadobo01,hayesel01,digreer01,abdulka01
1972-73,NBA,New York Knicks,D. Cowens,B. McAdoo,T. Archibald (2719),W. Chamberlain (1526),T. Archibald (910),K. Abdul-Jabbar (21.9),cowenda01,mcadobo01,architi01,chambwi01,architi01,abdulka01
1971-72,NBA,Los Angeles Lakers,K. Abdul-Jabbar,S. Wicks,K. Abdul-Jabbar (2822),W. Chamberlain (1572),L. Wilkens (766),K. Abdul-Jabbar (25.4),abdulka01,wickssi01,abdulka01,chambwi01,wilkele01,abdulka01
1970-71,NBA,Milwaukee Bucks,K. Abdul-Jabbar,"D. Cowens, G. Petrie",K. Abdul-Jabbar (2596),W. Chamberlain (1493),N. Van Lier (832),K. Abdul-Jabbar (22.3),abdulka01,cowenda01,abdulka01,chambwi01,vanlino01,abdulka01
1969-70,NBA,New York Knicks,W. Reed,K. Abdul-Jabbar,K. Abdul-Jabbar (2361),E. Hayes (1386),L. Wilkens (683),J. West (15.2),reedwi01,abdulka01,abdulka01,hayesel01,wilkele01,westje01
1968-69,NBA,Boston Celtics,W. Unseld,W. Unseld,E. Hayes (2327),W. Chamberlain (1712),O. Robertson (772),W. Reed (14.7),unselwe01,unselwe01,hayesel01,chambwi01,roberos01,reedwi01
1967-68,NBA,Boston Celtics,W. Chamberlain,E. Monroe,D. Bing (2142),W. Chamberlain (1952),W. Chamberlain (702),W. Chamberlain (20.4),chambwi01,monroea01,bingda01,chambwi01,chambwi01,chambwi01
1966-67,NBA,Philadelphia 76ers,W. Chamberlain,D. Bing,R. Barry (2775),W. Chamberlain (1957),G. Rodgers (908),W. Chamberlain (21.9),chambwi01,bingda01,barryri01,chambwi01,rodgegu01,chambwi01
1965-66,NBA,Boston Celtics,W. Chamberlain,R. Barry,W. Chamberlain (2649),W. Chamberlain (1943),O. Robertson (847),W. Chamberlain (21.4),chambwi01,barryri01,chambwi01,chambwi01,roberos01,chambwi01
1964-65,NBA,Boston Celtics,B. Russell,W. Reed,W. Chamberlain (2534),B. Russell (1878),O. Robertson (861),O. Robertson (17.0),russebi01,reedwi01,chambwi01,russebi01,roberos01,roberos01
1963-64,NBA,Boston Celtics,O. Robertson,J. Lucas,W. Chamberlain (2948),B. Russell (1930),O. Robertson (868),W. Chamberlain (25.0),roberos01,lucasje01,chambwi01,russebi01,roberos01,chambwi01
1962-63,NBA,Boston Celtics,B. Russell,T. Dischinger,W. Chamberlain (3586),W. Chamberlain (1946),G. Rodgers (825),W. Chamberlain (20.9),russebi01,dischte01,chambwi01,chambwi01,rodgegu01,chambwi01
1961-62,NBA,Boston Celtics,B. Russell,W. Bellamy,W. Chamberlain (4029),W. Chamberlain (2052),O. Robertson (899),W. Chamberlain (23.1),russebi01,bellawa01,chambwi01,chambwi01,roberos01,chambwi01
1960-61,NBA,Boston Celtics,B. Russell,O. Robertson,W. Chamberlain (3033),W. Chamberlain (2149),O. Robertson (690),W. Chamberlain (18.8),russebi01,roberos01,chambwi01,chambwi01,roberos01,chambwi01
1959-60,NBA,Boston Celtics,W. Chamberlain,W. Chamberlain,W. Chamberlain (2707),W. Chamberlain (1941),B. Cousy (715),W. Chamberlain (17.0),chambwi01,chambwi01,chambwi01,chambwi01,cousybo01,chambwi01
1958-59,NBA,Boston Celtics,B. Pettit,E. Baylor,B. Pettit (2105),B. Russell (1612),B. Cousy (557),B. Pettit (14.8),pettibo01,bayloel01,pettibo01,russebi01,cousybo01,pettibo01
1957-58,NBA,St. Louis Hawks,B. Russell,W. Sauldsberry,G. Yardley (2001),B. Russell (1564),B. Cousy (463),D. Schayes (13.7),russebi01,sauldwo01,yardlge01,russebi01,cousybo01,schaydo01
1956-57,NBA,Boston Celtics,B. Cousy,T. Heinsohn,P. Arizin (1817),M. Stokes (1256),B. Cousy (478),N. Johnston (13.7),cousybo01,heinsto01,arizipa01,stokema01,cousybo01,johnsne01
1955-56,NBA,Philadelphia Warriors,B. Pettit,M. Stokes,B. Pettit (1849),B. Pettit (1164),B. Cousy (642),N. Johnston (13.9),pettibo01,stokema01,pettibo01,pettibo01,cousybo01,johnsne01
1954-55,NBA,Syracuse Nationals,,B. Pettit,N. Johnston (1631),N. Johnston (1085),B. Cousy (557),N. Johnston (15.4),,pettibo01,johnsne01,johnsne01,cousybo01,johnsne01
1953-54,NBA,Minneapolis Lakers,,R. Felix,N. Johnston (1759),H. Gallatin (1098),B. Cousy (518),N. Johnston (18.3),,felixra01,johnsne01,gallaha01,cousybo01,johnsne01
1952-53,NBA,Minneapolis Lakers,,M. Meineke,N. Johnston (1564),G. Mikan (1007),B. Cousy (547),N. Johnston (15.3),,meinemo01,johnsne01,mikange01,cousybo01,johnsne01
1951-52,NBA,Minneapolis Lakers,,"M. Hutchins, B. Tosheff",P. Arizin (1674),L. Foust (880),A. Phillip (539),P. Arizin (16.0),,hutchme01,arizipa01,foustla01,phillan01,arizipa01
1950-51,NBA,Rochester Royals,,P. Arizin,G. Mikan (1932),D. Schayes (1080),A. Phillip (414),G. Mikan (23.4),,arizipa01,mikange01,schaydo01,phillan01,mikange01
1949-50,NBA,Minneapolis Lakers,,A. Groza,G. Mikan (1865),,D. McGuire (386),G. Mikan (21.1),,grozaal01,mikange01,,mcguidi01,mikange01
